Anonymous ID,Q16,Q19_1,Q19_2,Q19_3,Q4,Survey_Model,Survey_NE,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,Q17,Q18,Q5,Q6,Q8,Q9,Q11,Q12,Q14,Q15,Q20_1,Q20_2,Q20_3
24,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,10,10,10,10,8,8,9,8,8,9,10,10,10,9,10,9,10,9,9,9,/,"Each team has the probability of winning on losing coin toss, and the final result, leading to 4 different outcomes in total.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",/,"No, the sampler only simulates the result of coin toss, and without specifically telling which teams win or loss.",It helps me understand the learning. ,It appeals me because it gives four kinds of result. ,It helps me understand the learning. ,,,,,
28,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,6,7,5,6,4,4,4,4,5,6,4,5,4,5,7,6,6,4,5,-,it first shows whether the coin toss was won or lost and also if the team who won the toss also win the game,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,what appeals me is that it is much more simple and directly tells if the game was won or not. what doesn't is that it comes with an assumption that the coin was a fair one.,it supported because it showed how independent events can be shown. ,"it shows both, the result of the coin toss as well as the game. What doesn't is the titles as it will show win or lose or both of them, team name would have been better.",it did support the learning by showcasing the importance of appropriate titles. ,same as the previous one. ,it supports the learning by showing the imprtance of appropriate titles. ,1,2,3
30,"Yes, I was present and completed the NFL activity.",1,2,3,I did not have a well-formed idea initially,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"I started by constructing the spinner to simulate the coin flip, with equal odds of getting heads or tails.  After that, I constructed a mixer with two options, Team Heads and Team Tails. The mixer had equal chances of choosing either team regardless of the coin flip. After the coin was flipped, it would go to the mixer and randomly choose Team Heads or Team Tails to win the game, which incorporates the assumption that no matter what the coin landed on, the team chosen was not dependent on the flip. In the case of my picture, the coin landed on tails and Team Tails won the game.",Independent Sampler. Because description states that the coin flip and the game outcome are completely independent and do not influence each other.,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,"Its clear and direct visualization of a conditional relationship appeals to me, as it efficiently models how winning the coin flip might influence the game's outcome.Its rigid, built-in assumption of dependence does not appeal to me, as it cannot model a scenario where the coin flip and the game result are independent.",Discussing this device supported my learning by providing a concrete example to debate abstract concepts of dependence and independence in probability.,"Its clear two-stage structure visually separates the coin flip and game outcome events, making the sequential probability process easy to understand.The assumption that both stages use fixed 50% probabilities doesn’t appeal to me, as it may oversimplify real-world scenarios where winning the coin flip could influence win likelihood.",Discussing this device supported my learning by reinforcing how layered random processes can model complex events and the importance of questioning probability assumptions.,"Its reverse causal structure appeals to me by challenging conventional assumptions and encouraging deeper thought about probabilistic dependencies.The logical inconsistency of the game outcome determining the coin flip does not appeal to me, as it contradicts real-world sequence of events.","Discussing this device supported my learning by highlighting how model structure shapes interpretation and the importance of aligning probabilistic setups with contextual logic.

",3,1,2
32,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,5,8,8,5,7,5,7,6,6,7,4,5,6,6,6,7,6,6,6,7,,The chosen sampler relates to my personal narrative because it makes more intuitive sense for one to be chosen and then the other to be chosen.,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,What appeals to this is that it is simple and is representative of the probability. What doesn't appeal to me is showing both processes of the procedure.,This device supported my learning because it showed how the probability was the same if we did both or one spinner.,This is the sample I used and it appeals because it shows both steps of the procedure. Nothing does not appeal.,This supported my learning because it confirmed my thinking.,Same as previous,Same as previous,2,1,3
37,"Yes, I was present and completed the NFL activity.",2,1,3,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,8,8,10,6,9,8,8,6,7,6,8,8,5,8,6,8,9,9,9,6,n/a,"If the overtime rules are already fair, then you could very well also just say that the coin flip outcome determines the winner.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,"I like it, I used it as well.",I think most of the stuff said in class was similar to what my personal rationale was for choosing it.,Seems pointless to do it twice if the whole point of the experiment is that we're testing a world where the coin flip doesn't have any impact on the outcome of the game.,"Nothing that I particularly remember anymore, to be honest lol","Once again, this just seems entirely unnecessary. The coin flip has no bearing out the outcome of the game, supposedly, so why have two flips.",Same as the last page.,1,2,3
38,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,9,8,10,8,7,10,10,9,8,6,8,8,5,9,7,8,8,8,10,8,,"I think of the coin toss happening first, and then the outcome of the game.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",It was the same.,"It is very simple, but it doesn't align with my thought process so for me it would be a little hard to follow.",It did because it opened up a new way of thinking for me.,I like this one because it is simple while also keeping aligning with my thought process.,"It did, because I had to think of it mysef.","I didn't like this because it has the game outcome first, and that isn't really what happens in real life.",It didn't really because it was just confusing for me.,2,1,3
39,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,4,8,8,6,9,9,9,10,7,9,8,6,9,8,7,7,9,7,7,,"I first thought about the variables of ""winning/losing"" and ""ball/no ball"" as separate values with equal importance. While they are both important, there is no need to roll for ball/no ball because you can focus solely on the outcome for the team who received the ball.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,It is very simplistic for the study of focus. The only issue is that it can not capture every possible outcome for every possible team.,It supported my learning because it made me think about sampling in a more simplistic and straightforward way.,It captures possible outcomes of the game but it is unnecessarily complex.,Talking about this device made me realize the first spinner was redundant.,It captures possible outcomes of the game but it is unnecessarily complex.,-,2,1,3
42,"Yes, I was present and completed the NFL activity.",1,2,3,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,10,10,10,10,10,10,9,9,9,9,10,9,10,9,10,8,10,10,9,10,"Our sampler had three different spinners. The first one was split into Team 1 and Team 2, indicating which team won the coin toss. Then if Team 1 won then it branched off into another spinner split into Win or Lose, indicating if they won or lost the game. If Team 2 won then it branched off into another spinner split into Win or Lose, indicating if they won or lost the game.","This relates to my personal narrative of the context because it keeps track of both the outcome of the coin flip and the outcome of the game, therefore seeing if there is a relationship between the two.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",The sample we chose for 4B was similar to above except the first spinner was split into Team 1 and Team 2 instead of Win and Lose.,"I like this sample because it is a lot simpler and more concise. We don't really care about the coin flip loser's outcome, we only care about the coin flip winner's outcome. This then takes the coin flip loser out of the scenario and only focuses on the coin flip winner (which is all that we care about). ","Talking about this device supported my learning in class because before this sample was introduced to me, I didn't think of it nor did I think that the sampler I chose could be simplified any more.","I like that it is easy to follow in terms of if you won the coin toss and won the game, lost the coin toss and won the game, etc. I don't like how both spinners are split into Win and Lose because I think it can be confusing when looking at the outcomes (which Win indicates winning the coin toss versus winning the game).",This device supported my learning in class by showing me examples of samplers that are good but can be confusing or have things that you can tweak to make it a better sampler.,I don't like this sampler because it confuses me how the Game Outcome spinner comes before the Coin Flip spinner. This seems backwards to me and I don't see the purpose because it is the opposite of what we are trying to study.,"We didn't really dig that deep into this specific scenario, but what we did talk about supported my thoughts of confusion.",1,2,3
43,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,7,7,8,7,7,6,7,7,6,7,6,6,6,5,7,7,7,7,5,,"Assuming the winner of the coin flip does not have an advantage, we did a 50/50 sampler for the coin flip and the game.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"I like how simple it is. Just one 50/50 sampler because we just need to sample whether or not the winner of the coin flip won the game. However, I wanted to see the ""full results"" so that I could compare each outcome.","I didn't really think about this model until we talked about it, so it helped me kind of focus on what we're actually trying to measure with our samplers.","This method was my first intuition. I think one thing I would fix is the labels; just the words win, lose, win, lose would come out to be very confusing.",I was relieved to see that others had the same intuition.,"It's similar to the double sampler method we used, but this time we sample the game outcome before the coin flip. That basically is the same thing, but I don't like how it's not in an intuitive order.",I don't really remember talking about this version in class.,2,1,3
46,"Yes, I was present and completed the NFL activity.",2,1,3,,,,7,8,8,8,8,8,8,8,7,7,7,8,9,8,7,8,8,8,8,8,"My sampler was the same as the third one, but for both spinners the variables were labeled ""Team 1"" and ""Team 2"" instead ""Win"" or ""Lose.""","My chosen sampler has two evenly split 50/50 spinners, one specified for the coin flip and one for the game outcome/game winner. Coin flips are expected to be fair, and either outcome of tails or heads should have a 50% chance of landing, therefore, each team should have a 50% chance of winning the coin flip. I then connected the game outcome spinner to the coin winner spinner so that once the coin winner appeared, the game winner would appear (unrelated to the coin winner though). The branch between the coin winner and game outcome is purely for convenience to get both outcomes at the same time, and these two spinners are practically independent from each other (because I am testing the idea that there is no advantage when winning the coin toss). The game outcome/game winner is also set up with a 50/50 split to show a fair split and probability for each team’s chances of winning. 
I liked labeling the variables for both the coin winner sampler and game winner sampler as Team 1 and Team 2 because I can see which team won the coin flip and which team won the game. 
","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.","Again, the labels for the variables were different (Teams instead of Win/Lose)","I didn't like this sampler. Although yes, it makes sense to the context that the coin flip and the game outcomes are independent and that winning the coin flip should give no advantage, I think the sampler should still include another spinner for the coin flip outcomes to give more context to our specific situation. If you use this sampler when presenting your data/results, it might be confusing (if you were just looking at the sampler, you would never even know that we are studying whether or not flipping a coin correlates to winning the game).",Talking about this device did help me see how this technically does work as a viable device for our situation. I never thought about the idea that you don't need two separate spinners if coin flips and game outcomes are independent from each other.,"I like how it is clear; the coin flip outcome is revealed, and then the game outcome is revealed. It is clean and gives us a good visual to the situation at hand. I don't like the labels though. Having it simply be ""team 1"" and ""team 2"" is better, given that we can clearly see which team both won the coin toss and game.",Talking about the device in class was helpful in understanding my preference in samplers like this that are strong representations of the situations at hand.,"It's fine, but I don't love how the game outcome comes before coin flip. It doesn't really matter what order they are in, but I just find this a bit confusing.",I don't remember talking about this device in class.,3,1,2
48,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,6,9,9,8,6,6,5,8,9,6,8,6,4,5,5,6,7,7,7,7,,We were supposed to design the chances of winning the game in OT without having the coin winning team to have an advantage of winning,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"What appeals is the equal chance of both teams winning no matter who won the coin toss. However, I wish we can see another sampler that says which team won the coin toss to make the trials more realistic",It did support my learning since this created a model that does exactly what the question asked them to do but there is more than one spinner though,What appeals for me is that we get to see if the team won the coin toss or not and we can also see if they won for the game outcome,This didnt support my learning in class because I still wish we can differentiate the teams instead of having multiple win lose sampler or like change the text to Team 1 and 2 in my opinion,"What doesn't appeal is that this model is done out of order and normally, the coin flip happens first before the outcome of the game",It didn't support our learning a ton since there are better ways to realistically model this ,2,1,3
49,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,8,8,5,8,3,3,3,3,3,4,5,5,5,3,8,6,8,8,8,,It allows equal random chance for either game to win the coin toss and the game overall.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It provides equal random chance to either team to win the coin toss, much like a real-life situation. However, it does not allow a perfectly equal simulation of which team wins or loses the overall game, which is an attribute we are interested in, in this activity.","This device resulted in making me more confused, because I do not understand how someone might derive game winning results from just this model.","This device struck out to me because it shows both equal random chance of winning a coin toss and the overall game for both teams, in the consequential order that this would occur in real life situations.","I felt decently confident with this device before discussing it, but after I felt more confident. We discussed how it would display no advantage. I did get confused later in class when it was mentioned that real life situations would not emulate the data outcomes, and I still do not understand this segment of the activity.","This sampler is very similar to the previous in that it provides possible data for both game outcome and coin toss winners. However, I did not think about this set up as it does not follow the same sequence as a real-life scenario.",I do not recall discussing this specific organization in class.,3,1,2
50,"Yes, I was present and completed the NFL activity.",2,1,3,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,9,7,9,9,9,8,8,8,9,9,8,9,9,9,8,9,8,8,9,6,,"Our narrative in my group was that the 1 sample method is simpler and just as accurate as we assume the team has already won the coin flip, so we just exclude one of the steps.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,"The simplicity and ease of understanding really appeals to me. Still, the thing that doesn't appeal to me is that it could be a bit too simple for a really comprehensive statistical analysis.",It did support my learning as talking about it made me think about more by myself instead of just doing whatever I saw on the boards.,There being two samplers makes it seem like a more thorough way for analysis but I think having the coin flip sampler doesn't matter as it's a extra step compared just having the game outcome sampler,It still did help my learning as at first I thought it was a better way but think and talking about it more made me choose the 1 sampler option,It does not appeal to me as it is the same thing as the last one but having the game outcome first doesn't visually appeal to me,"Same as the alst one as I automatically thought it was better at first because it had the second sampler, I realized I preferred the first one after thinking and talking about it",1,3,2
51,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,8,8,8,9,9,9,9,8,8,8,8,8,9,10,8,7,9,9,9,My sampler did not. ,"My chosen sampler relates to the narrative by showing the outcome of a team that wins or loses a football game, and then whether that team won or lost the game based off starting with the ball first in overtime. My sampler showed there was no advantage towards either side. ","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,This sampler appeals to me because it accurately portrays a 50/50 chance of winning or losing the game. What does not appeal is that the title is that they are only portraying the team that won the coin flip. ,Talking about this device supported my learning by allowing me to understand how to accurately portray a real life example in tinkerplots. ,"Everything about this sampler appeals to me because it accurately portrays everything in the NFL example correctly. 428 repeat, draw 2, and then the two outcomes of the coin flip and winning the game. ",Talking about this device allowed me to make a real life example in class and understand how to do other examples when needed. ,"This device at first glance does appeal to me, besides having the outcome of the game being ran first, which is not correct because then it gives no significance to the coin flip outcome.",This device does not support my learning because it is a wrong representation of the NFL example. The titles must be flipped in order to be correct.,3,1,2
53,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,6,8,8,5,4,6,8,8,7,7,9,4,5,8,7,7,5,8,6,7,"I had two spinners branched off from the initial coin flip one, each branch represented the coin flip outcome and then led to another 50/50 spinner to determine if the team won the game.","It relates to my personal narrative because I hypothesized that the team, regardless of the outcome of the first spinner, should each have an equal chance at winning the game. ","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.","My sampler had two branches going to two spinners. I realize now it was redundant, but it had a 50/50 spinner connected to each outcome of the coin flip.",It appeals to me because it is very simple and does not have branches of more spinners. It does not appeal to me because I would have to keep in mind the assumption that the team already won the coinflip.,It supported my learning because it showed me the importance of considering assumptions that came with certain samplers. It also opened my eyes to the possibilities of reducing the number of spinners if you already predetermine a certain outcome. ,This sampler appeals to me because it fits the logical timeline of how these events would happen. It does not appeal to me because I feel like the labels on the spinners themselves could be more detailed to make data observation easier and less confusing later on.,"It supported my learning because in class we walked through how having a branch for each initial outcome was redundant since the probability for each both options were going to be the same. I learned that the purpose of different branches is really to model when there are different probabilities for outcomes, but if they are the same you can combine them into one. ","This sampler appeals to me because it has two different samplers, one for each event. I think having two samplers and no initial assumptions make data observation easier in the long-run, However, the order the spinners are in does not appeal to me because it goes against the logical procession of events in reality. ","Talking about this device supported my learning in class because I found that this sampler is pretty much the same as the last one, it just depends what order makes the most logical sense to you. I also learned the same thing that I previously mentioned for the last sampler, where a second branch for an outcome with the same probability is useless.  ",3,1,2
54,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,9,8,9,9,8,9,8,8,8,7,8,9,9,9,9,8,9,8,8,9,,"Because we were told to simply check whether the coin toss resulted in a team winning/losing the game, our model just had two 50/50 spinners for whether the coin toss was won or lost by a team. ","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",we had the labels as team 1 or team 2 not win or lose,It is simple and is easily able to show whether both the coin flip and game were won or not.,It was able to represent how labelling of our samples is important and how simple solutions with accurate labels may be more effective than more complex samplers with poor labels. ,"It shows both the coin flip and game outcome with equal 50/50 chances of win/lose, but it is harder to see whether both the flip and game were won or not. ",It showed how vague labels can sometimes be detrimental to the sampler since it is harder to see the outcome we see as important.,"It also shows the equal chances of both winning the game and winning the coin flip, but does so less accurately as the game outcome is decided before the coin flip, although it shouldn't affect the results of the sample. ",did not talk about,1,2,3
55,"Yes, I was present and completed the NFL activity.",1,2,3,A single device that determines the coin flip/game winner based upon a 56% chance.,1,0,8,6,10,8,3,5,6,10,7,8,7,3,7,8,3,8,3,10,7,3,,Because team who won the coin flip have the probability of 56 to win the game. ,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,Because it looks simpler and  is clear to see the result. ,Winning or losing the coin flip have the same probability. And both team will got equal probability to win the game. ,It has two draws which looks sophisticated. ,The device has two draws which correspond to two outcomes: winning the coin flip and winning the game. ,It shows the probability of winning both game is 50 percent. ,Two draws correspond to the winning coin flip and winning the game. ,1,2,3
57,"Yes, I was present and completed the NFL activity.",3,2,1,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,7,7,8,7,5,7,8,7,7,7,8,7,7,7,8,7,6,7,6,7,,The person who wins the coin toss gets to serve first. The probability of winning the game in the competition is also 50%.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"This device is very simple and easy to set up or operate. However, this sampler neglects the probability of flipping a coin.","Because I had written it that way before, it helped my learning and enabled me to understand the pros and cons of this method.","He has covered the probabilities of flipping a coin and the probabilities of the game very comprehensively, and the results are also very intuitive. This model is a little bit complicated.","This is the revised plan I came up with. It transformed my previous simple plan into this more comprehensive one, which has been beneficial to my learning.","This device covers a wide range of aspects, including both the results of the coins and the results of the competitions. However, it presented the results of the competitions first, followed by the results of the coins. This did not follow the order specified in the question.",Help me to better understand the thoughts of other classmates.,2,1,3
60,"Yes, I was present and completed the NFL activity.",2,3,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,4,2,7,1,7,8,6,6,8,8,9,7,1,6,7,6,7,5,8,3,,there's a 50/50 for the coin toss then a 50/50 for the game,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It's really simple, but data collection of the loosing team is a little harder to collect, needing calculations.",It gave another way of thinking about it,"It's easy to understand, but labeling could get confusing with win/lose options",it led to a better understanding of how labels are important,"it's about the same as the other one, just game_outcome and coin_flip are switched.","since it's not deterministic on one or the other factor  in this trial, it doesn't matter which way they are arranged.",3,1,2
