Anonymous ID,Were you present for class on 9/10?,Select the Sampler which most closely aligns with your initial approach (at the end of part a) to modeling the amount of hearts obtained within a hand of 10 cards.,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 3B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
18,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"I chose the sampler that would be the simplest to create, along with just as accurate data as the more complex samplers. It aligns with my personal narrative of efficiency and precision.","A single device with two options: heart or not heart, sampled without replacement. ",,"It still remains simple, but still has pieces that are not necessary for accurate data. This sampler is the closest to our chosen sampler, so i still feel like it does a great job.",It did support my learning because it allowed me to expand the way I thought about collecting data. It allowed me to think of other possibilities and look at different perspectives.,"It appealed to me the most because it got the exact data we were looking for, was the simplistic to create, and was efficient. I can understand how people would want the full deck drawing experience, but I think this is the most optimal for our purposes.","Talking about it confirmed what I already believed about this model, when compared to the other models, it was the simplest.","It does appeal to me in the sense that it gives the whole experience of drawing cards, but it does not appeal to me because I believe it overcomplicates the process and isn't efficient.","It did let me hear from the professors that sometimes a good statistician with layout the whole process like this, and there is merit to this setup. ",8,9,6,8,8,5,4,5,4,4,7,7,5,8,6,10,10,10,9,10
19,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,N/A,"We chose the option where there were four stacks, each representing the suits in a deck of cards and then after getting the data, I isolated the dot that represented hearts on the plot to see how many hearts were chosen in the trial. Also, we chose the ""without replacement"" option because you are pulling cards from a deck so once you pick a card, you won't be able to pick the same exact card again.","A single device with two options: heart or not heart, sampled without replacement. ",N/A,"This sampler appeals to me because it is the first method we used to find out how many hearts we would get out of ten trials. However, it is even easier to just create two stacks: Hearts, non-hearts. ",Professor Kit's step-by-step walk through of how to run trials on Tinkerplots and which programs to use for several cases was very helpful. It is really helpful to my learning when I see how things are done step-by-step and I am a visual learner.,"Upon observing the sampler given above, I believe this is the most efficient setup for this particular case. I like that the stacks are divided into two subcategories, rather than four because you can instantly identify the amount of hearts drawn.","It was very helpful that we discussed the setup used in the plot above because I initially used 4 stacks to represent each suit, however the setup I used in 3b after the discussion was much more efficient.","Upon observing the given device, I believe this setup would be useful if you want to figure out not only the frequency that one suit is drawn, but also the number. However, this setup would not be necessary for activity 3 because the worksheet only wanted to know how often hearts are selected.","Although this setup didn't necessarily apply to the problems we were working on the worksheet, it was helpful to learn how to create the second portion of this device that relies on the choice selected in the first part.",7,7,9,6,4,5,5,10,6,6,3,8,8,3,6,5,9,6,8,8
20,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,The one I chose above is identical to the one we chose in class.,"It makes the most sense to me to split the cards into all four suits. Although the problem is asking for just the percentage of hearts without replacement, it still made sense for me to represent all four suits rather than just hearts vs every other suit",A single device with all four suits sampled without replacement. ,,"I like the fact that is has all four suits, it represents the deck better. However, the only thing that could be a downside is that perhaps it could be simplified for this problem to hearts vs other suits.","Talking about it helped me understand how to approach modeling and sampling data representatively, and accurately.","Simple, to the point, easy to understand for this context. In my opinion, I would like to have each suit perfectly represented, though, so four piles, not two","It helped me understand that in some cases, I can simpligy the represntation of some problem for the ease of the data collection.","I like how you get to find out the specific card you are pulling, especially for the face cards. However, doing all that seems unnecessary  in the context of the problem.",It showed me that I can make branches in my TinkerPlots sampling. Useful for more complex and multi layered problems for the future. ,5,6,4,4,5,6,6,6,6,6,7,7,5,6,6,6,7,6,5,6
22,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,"Symbol first, then number","A single device with two options: heart or not heart, sampled without replacement. ",,I can know the cards' symbols.  I can't know their numbers.,different ways of thinking.,Whether it is heart or not. Its exact symbol.,more specific to the question,I can know both symbol and number.,This can be used in more situation compared to other methods.,8,8,10,10,8,10,9,9,8,8,9,8,9,9,7,10,8,7,6,10
24,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,"The suit and value should be the exact numbers, so stack is the most suitable one. ","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"It appeals me because there four kinds of suits and each has the exact number of 13, the same as the reality. ",It supports the idea because the talking confirms my idea. ,It appeals. ,The attributes have the right number: the heart is 13 while the not heart is 39 in a standard set of cards. ,It appeals. ,It supports the idea because cards have the exact value in this device. ,10,10,10,10,8,8,9,8,8,9,10,10,10,9,10,9,10,9,9,9
25,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"Since we were only accounting for hearts, it made sense to me to only include the suits of the card in the sampler and do it without replacement since once you draw a card you wouldn't be able to draw it again in real life.",A single device with all four suits sampled without replacement. ,,"From a non-statistical standpoint, I like that this sampler looks similar to stacks of cards which is the context of this problem. I also like that once a suit is chosen, you can see that the amount of that suit goes down. Something that doesn't appeal to me is the fact that the value of the card isn't accounted for even though it is not required for the problem.",This supported my learning as it helped me visualize and better understand a sampling process which was something we talked about in the chapter 2 videos.,"I like that it is a simple way of categorizing the results into what we are looking for (hearts) and everything else (not hearts). Again, though it doesn't help with the problem, being able to see the value of the card would make this more appealing. ",I liked this sampler because it showed me a simpler way of recording the results since it gave us the information we needed ,I like that this sampler gives you the suits and the value for each card once it's drawn even though we don't need it for the problem at hand. ,I liked this one as it showed every possible outcome without replacement and was the closest to how it would be in real life.,8,7,9,8,7,8,8,8,8,8,8,7,8,8,8,9,7,7,9,7
26,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,to me it seemed like the easiest one to make.,"A single device with two options: heart or not heart, sampled without replacement. ",,"It is specific with the number of cards in each suit instead of just saying hearts and non-hearts, so it is easier to visualize how it resembles cards being drawn from the deck. I don't like how it takes more time to make than the hearts and non-hearts sampler.","I believe I already understood it well, so it didn't support my learning by having to spend more time thinking about it instead of learning something new.",It is easy to make and directly shows the odds of hearts versus non hearts. ,This is the one I chose to make so I already understood it when talking about it in class.,I like how it shows each specific card being drawn. I don't like how it is more complicated to make and understand than the sampler using hearts and non-hearts.,I would have liked to make a device like this but I didn't understand how to do so in tinkerplots so I was really helped by talking about it in class.,6,3,7,5,8,6,7,7,7,5,8,7,8,8,8,8,9,7,8,3
27,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"We were thinking that since there are 4 suits, if we just did a sampler where each group has 13 bars, it would represent 13 cards per suit","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"It looks neat since it only involves one device, and there are 4 even columns that represent a suit. ",It helped support my learning because it helped me to understand which devices or combination of devices helped to result in a somewhat accurate simulation for if we wanted to run this experiment.,"It is nice if you are just focusing on pulling hearts vs any other kind, where a non-heart is automatically a ""fail"" or not the pick of interest. ","I didn't really discuss this device as much. It's helpful if you are only focusing on hearts, but isn't as helpful if you wanted to find a distribution for cards pulled that weren't hearts. ","I like this sampler because it is more complex, but I also don't see how it is necessary if you're just trying to determine the probability of drawing hearts per 10 draws.","I liked talking about this device because it involves multiple stages, which can lead to more complex and multi-step simulations in the future. ",9,6,10,8,7,10,10,10,9,9,9,10,8,7,8,9,7,9,9,10
28,"No, I was not present, but I have worked through this activity on my own.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,It did show the result with replacement. ,the sampler i chose was based on the fact that there are 4 suits and every suit has 13 cards respectively. So the sampler showed the card chosen as well as the suit. ,"A single device with two options: heart or not heart, sampled without replacement. ",i chose the first one ,What appeals me is that it looks organised and sorted. However what doesn't appeal me is that the number on the cards isn't mentioned.,-,What appeals me is that it already distinguished between hearts and not hearts. However what doesn't is that the numbers of cards aren't mentioned.,I was absent during the class however this did help my learning in the sense that i discovered a new tool to already distinguish the cards and get my result directly. ,what appeals to me is that the number are visible but what doesn't is that it uses two different illustrations to depict the same thing. ,Thi helped me discover a new method to do the same sampling and this time with the numbers showing. ,7,6,7,5,6,4,4,4,4,5,6,4,5,4,5,7,6,6,4,5
29,"No, I was not present, but I have worked through this activity on my own.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"My chosen sampler connects to my experience of playing card games, because drawing without replacement is how cards are actually dealt and helps me understand the results better. And since we're only keeping track of hearts, there's no specification needed for other kinds of cards.","A single device with two options: heart or not heart, sampled without replacement. ","I chose the sampler with two categories, Heart and Not Heart, sampled without replacement, because it directly models the number of Hearts in a 10-card hand and avoids unnecessary complexity.","I like this sampler because it clearly represents all four suits and makes the deck easy to visualize. However, I do not like it because it's too detailed while we only need to know either theres hearts or no hearts in the question.",Talking about this device in class supported my learning because it showed me how a more detailed model can still answer the main question about Hearts and maybe further questions.,This sampler is well designed for this problem so I like how it gets the job done. But the problem with the model is it won't be useful if we have further questions.,Talking about this model supports my learning in class because it showed me the most effective way to design a problem solving sampler.,This model is well detailed just like if we have a full deck. However it does not appeal t me because it takes too long to construct and does more than what the question ask for.,"This model supported my learning in class by showing me how to visualize a complete deck of cards in tinkerplot, and it's useful for various question regarding dealing cards.",8,9,10,6,7,9,9,9,8,9,8,9,7,9,7,9,9,8,8,7
30,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,no,only two options,A single device with all four suits sampled without replacement. ,,"I think this would be the most simple approach while also having a visual representation of the cards we were drawing. Since we don’t really care about the value of the card, only if it is a Hearts card or not, we didn’t bother complicating our sampler with the values. 
",It is very useful. I learned a statistical chart presentation method.,The device effectively visualizes basic probability concepts through clear binary choices and numerical ratios.,It's clear to show the data.,The two-stage sampling process visually clarifies dependent probability through sequential suit and value selection. The complex branching may overwhelm learners without clear labels or instructor guidance.,"Discussing the device highlighted how conditional probability operates in structured steps, reinforcing theoretical concepts with tangible examples.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,"The chosen sampler relates to my personal narrative of this because I usually think of these processes as separate steps and so with having experiences with cards and such, I am able to compartmentalize it into finding the suit first and then picking the number after. ","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,What appeals to me is that you are able to see visually the comparison to the number of cards per suit to other suits. There is not much that does not appeal. ,Talking about this device in class did support my learning because I was able to visualize the steps of the random generator and use that image in my head to create new scenarios.,What appeals to me is that you are able to see all the hearts and non hearts but what doesn't appeal is that you are not able to specify the other suits besides hearts. ,Talking about this device supported my learning because I was able to see a different version of this than what I had initially thought of.,I like this because it is exactly what I did initially for my experiment. Nothing doesn't appeal to me. ,This supported my learning because I was able to compare my thinking to other people's reasoning of why they chose this. ,5,8,8,5,7,5,7,6,6,7,4,5,6,6,6,7,6,6,6,7
37,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"Hearts are the only thing that matter, but trying to put 39 ""other"" cards is too annoying to do, plus this makes it easy and clear to see the ""without replacement"" part.",A single device with all four suits sampled without replacement. ,,"Simple, functional, and clean. But it doesn't specify the cards that come out.",Talking about it in class gave me a bit more perspective on the pros and cons of this and other sampling methods.,Not as clean looking but more directly functional. It gives away even more realistic-ness compared to the previous version.,"I don't really remember talking about this particular one too much during class, to be honest.","Really complex and, in my opinion, pretty unnecessary. BUT, it is very accurate in actually simulating the thing we're trying to test.","I initially didn't really know what was exactly going on with this sampler, but after talking about it in class, I got the general idea a bit better. ",8,8,10,6,9,8,8,6,7,6,8,8,5,8,6,8,9,9,9,6
38,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,It did not functionally differ.,"My chosen sampler was the exact same. As we did not need to know the number of the cards, I just split it into 4 different sets of 13 cards, and then noted the amount of hearts we ended up with.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",It did not.,"It appeals to me because it is very simple and you only need to think about the suites and not even the numbers. However, it could be not useful if you also need numbers in your trial, but initially we did not.","It supported my learning because initially, I didn't even think about the numbers because we were only asked about the suites, but when talking about the numbers in class, it made me think how we could make a new sampler for this.","It is very simple, but it will only work for this assignment or if you only want to count hearts.","I did not even think about this sampler before it was brought up in class, but it was very simple when I was shown it.","This is the most complex, but it is like a real deck of cards, it does not just show whether you got hearts or not.",It supported my learning because I think I learned a lot about the sampler when thinking about this method rather than my initial.,9,8,10,8,7,10,10,9,8,6,8,8,5,9,7,8,8,8,10,8
40,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,I classified all the playing cards directly ,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,I can directly see the number of playing cards of each type,It is helpful because it can be used directly for probability testing and statistics.,The proportion of not heart is much larger than heart,I can see the number of not heart and heart,The suits of each playing card are evenly distributed in four tables.,"After running the program, you can count the probability of each color appearing",5,5,8,4,4,7,4,6,4,5,3,2,6,6,4,6,3,6,6,4
42,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"My thought was that it was important to distinguish the hearts from the other cards, however the number/face of the card didn't matter. Therefore, my group and I decided to split the cards into categories of suits and put 13 cards in each category.",A single device with all four suits sampled without replacement. ,,"I like how it is very easy to see the ""without replacement"" aspect and which cards are of which suit. There isn't anything that sticks out to me regarding what I dislike.","Talking about this device supported my learning in class by further strengthening my opinion on choosing this method, while also showing me other ways to represent a similar situation.","I like how isolated the heart cards are, and there is nothing that immediately sticks out to me that I would dislike.","When talking about this idea in class, I realized that this was another good option that my group could've used.","Something that appeals to me about the sampler is that you are able to see each individual card that is being chosen. However, this sampler is overwhelming for me to look at and I don't think the level of detail is necessary for the given situation.","Talking about this device in class helped me understand why some classmates would choose this device, and also some of the pros that it has.",10,10,10,10,10,10,9,9,9,9,10,9,10,9,10,8,10,10,9,10
43,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,We simulated drawing a card and examining its suite repeated 10 times (without replacement). We then counted the number of hearts drawn to determine the amount of hearts.,A single device with all four suits sampled without replacement. ,,"It felt very intuitive to us, and I also liked the fact that we could compare our number of hearts with each of the other suites to sort of cross check if our result seemed normal. However, the fact that it has more aspects to it rather than a model with hearts and non-hearts makes it a bit more complicated.","I was actually focused on my model and my model only, but listening to the different models that my class came up with helped me see how the same thing could be also done in many other ways.","I like how easy to understand it is, however I kind of miss being able to see the counts for the individual suites (to compare and check if our results seem normal).","I contemplated about using this model myself, but I ended up not using it. However, seeing that some people using it and reaching the same conclusion as me showed me that it was indeed a viable method with nothing wrong about it.","I like the fact that we can see the individual card suit and number for each draw, without it picking two same numbers from the same suite. However, it does seem to overcomplicate things, because although the extra information was good, it was not needed in our case. ",I liked exploring this method and seeing how it was designed to not pick any duplicate numbers from the same suite.,7,7,7,8,7,7,6,7,7,6,7,6,6,6,5,7,7,7,7,5
44,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,N/A,I chose this sampler because it was more visually simple to just do 4 categories of the suites.,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",This one is more specific to what number and suite it is. ,"This sampler is simple and clearly tells you which suite. On the other hand, its not specific as to which number was drawn.",It clearly shows the probability of getting a heart.,"This clears all the suites, and fully focus on the hearts which simplifies the process but, at the same time, both repeat the word ""Heart"" in it which would confuse me.",It supported my learning because it exposed me to different ways of getting the same result however impractical it may seem. ,It appeals to me because its every specific and will let me know exactly what card I drew. It does look more complicated than necessary. ,It helped me understand different ways of getting the same outcome and honestly this was a better sampler than what I had thought off. ,9,9,10,10,9,9,10,9,10,8,8,8,7,8,9,9,8,10,9,10
46,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"We are asked to find the probability of how many hearts will appear when 10 cards are dealt. We are asked only to care about the suit of the card, so rather than making many different variables (based on the number/face value of the cards), it is easier to just make four variables (hearts, clubs, aces, diamonds). By making the draw value 1, the repeat value 10, and run it without replacement, we get results where the cards are drawn 1 at a time, and 10 cards are drawn without being reshuffled in every time the deck is dealt. ",A single device with all four suits sampled without replacement. ,,"We are asked to find the probability of how many hearts will appear when 10 cards are dealt. We are asked only to care about the suit of the card, so rather than making many different variables (based on the number/face value of the cards), it is easier to just make four variables (hearts, clubs, aces, diamonds). By making the draw value 1, the repeat value 10, and run it without replacement, we get results where the cards are drawn 1 at a time, and 10 cards are drawn without being reshuffled in every time the deck is dealt. This appeals to me because it is the most simple and efficient.",It confirmed me and my teammates thinking. We both created the same sampler. Talking about it validated our thinking!,"It looks somewhat appealing because it only has two variables, making it simpler. However, it isn't appealing because it still is worth while to organize your data and see the other cards' suits that are dealt (just to make your data results look more clean and organized).",Talking about this device in class made me want to stray away from using this sampler.,This does not appeal to me at all. It just looks way too complicated. We don't need all of these categories and variables to find what we need to find.,Talking about this is class supported my learning by showing me there are many ways to create samplers that find the same results (helped me understand tinkerplots better). It also supported me by letting me know the harder method of doing things (and giving me the suggestion to sometimes stray away from those methods to save time).,7,8,8,8,8,8,8,8,7,7,7,8,9,8,7,8,8,8,8,8
