Anonymous ID,Were you present for class on 9/24?,Select the Sampler which most closely aligns with your initial approach to modeling Jasmine if she were randomly guessing the correct note the teacher played,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 5B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.",Which of the following samplers do you prefer more for generating data for the Music Notes scenario?,Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
25,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,The teacher plays a note at random and then Jasmine also guesses a note at random with no additional knowledge. ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,,,,,,"It helped me understand that in some cases, I can simpligy the represntation of some problem for the ease of the data collection.","I like how you get to find out the specific card you are pulling, especially for the face cards. However, doing all that seems unnecessary  in the context of the problem.",It showed me that I can make branches in my TinkerPlots sampling. Useful for more complex and multi layered problems for the future. ,8,7,9,8,7,8,8,8,8,8,8,7,8,8,8,9,7,7,9,7
26,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,"It was a spinner that had six options for incorrect and one option for correct, all of equal size.",It felt easy to make while also being easy to understand how it represented her guessing a note.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"I like how it is easy to derive the odds for each event from looking at it. What doesn't appeal to me is that it is difficult to understand the context of the simulation from looking at it.
",This was very similar functionally to the one I made before the class discussion so there was little impact on my learning through talking about it in class.,I like how this one shows the context of the simulation; if you were to show it to someone who hadn't read the problem they would get an idea of what it was about. What doesn't appeal to me is that it is more complicated to make and less easy to understand the odds of each outcome as the stack sampler in the previous question.,"I wanted to make a sampler that better showed the context of the simulation but I really didn't know how to, so listening to how this sampler was constructed really helped my learning and I will try to use it in another tinkerplots activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",more specific to the question,I can know both symbol and number.,This can be used in more situation compared to other methods.,6,3,7,5,8,6,7,7,7,5,8,7,8,8,8,8,9,7,8,3
28,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,It relates to my personal narrative asthe note chosen by her would either be right or wrong and the chances of being right are 1/7 and wrong are 6/7,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,what appeals is that it is pretty simple and straightforward and what doesn't is that the entire context and story isn't visible.,it did becuase it showed how to create a simple sampler for a complex problem.,what appeals is that the entire story is presented and what doesn't is that it adds to the complexity. ,it did help as it showed another comprehensive way of making the sample. ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",The attributes have the right number: the heart is 13 while the not heart is 39 in a standard set of cards. ,It appeals. ,It supports the idea because cards have the exact value in this device. ,7,6,7,5,6,4,4,4,4,5,6,4,5,4,5,7,6,6,4,5
29,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,same,"I decided to choose the simplest device that could directly solve this problem. It is simple in the way that it is easy to understand and it is effective because it properly samples data for our situation.
","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It functions the same.,This sampler appeals to me because it tells us whether the guess is correct or not being a 1/7 chance if she is guessing.,I didn't really help me with my learning in class because the sampler is the same as the sampler we designed.,This sampler's design of 7 notes divided in a spinner appeals to me because it visualize the actual situation for us. But I didn't end up using it because it takes two draws which complicates the problem.,Talking about the methodology of grouping the data together in the dot plot for this chart helps me understands tinkerplot better,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I liked this sampler because it showed me a simpler way of recording the results since it gave us the information we needed ,I like that this sampler gives you the suits and the value for each card once it's drawn even though we don't need it for the problem at hand. ,I liked this one as it showed every possible outcome without replacement and was the closest to how it would be in real life.,8,9,10,6,7,9,9,9,8,9,8,9,7,9,7,9,9,8,8,7
30,"Yes, I was present and completed the Music Notes activity.",I did not have a well-formed idea initially,N/A,N/A,"I named it C for correct (1 in 7 chances Jasmine gets it right), and I for incorrect (6 in 7 chances Jasmine gets it wrong). It is represented using a spinner.",With replacement because Jasmine will have to pick one out of the 7 different notes every time the test is conducted.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"It makes it super clear to see the count of correct and incorrect notes, so I can quickly grasp the data without having to parse numbers alone. ",Seeing the bars update as the sampler ran helped me visualize probability in action—like how often “correct” vs. “incorrect” might occur. ,"It makes the connection between the two sampling steps super clear—first the teacher’s note, then the student’s guess. ",It made the idea of linked probability feel concrete.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",This is the one I chose to make so I already understood it when talking about it in class.,I like how it shows each specific card being drawn. I don't like how it is more complicated to make and understand than the sampler using hearts and non-hearts.,I would have liked to make a device like this but I didn't understand how to do so in tinkerplots so I was really helped by talking about it in class.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,It was a spinner ,It relates because it represents my thoughts process,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,It appeals because it is simple,This device supported my learning because it confirmed my belief and logic ,This does appeal to me because it represents the process but it does not represent because it’s a little complicated because you need to graph if it matches ,This supported my learning because it showed me a different way of doing the tinkerplot,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","I didn't really discuss this device as much. It's helpful if you are only focusing on hearts, but isn't as helpful if you wanted to find a distribution for cards pulled that weren't hearts. ","I like this sampler because it is more complex, but I also don't see how it is necessary if you're just trying to determine the probability of drawing hearts per 10 draws.","I liked talking about this device because it involves multiple stages, which can lead to more complex and multi-step simulations in the future. ",5,8,8,5,7,5,7,6,6,7,4,5,6,6,6,7,6,6,6,7
37,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,I just had a mixer with all of the notes.,"The answer doesnt really matter so we can just say it's always G, and if she's randomly guessing, we'd get the same results if we had another spinner rolling the correct answer each time, since it just doesn't matter.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Same as last page.,Very direct. Straight up tells us whether her random guess hit the 1 of 7 notes that was correct.,Generally understood.,Unnecessary to roll twice.,Generally understood prior.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I was absent during the class however this did help my learning in the sense that i discovered a new tool to already distinguish the cards and get my result directly. ,what appeals to me is that the number are visible but what doesn't is that it uses two different illustrations to depict the same thing. ,Thi helped me discover a new method to do the same sampling and this time with the numbers showing. ,8,8,10,6,9,8,8,6,7,6,8,8,5,8,6,8,9,9,9,6
38,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,It did not,"It samples the situation perfectly, and it is also easy to follow and simple.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It did not differ.,"It appeals to me because it is very simple, however it does not model the exact situation as it gives a simplified model.",It did support my learning because it showed me a simpler way of thinking.,"It exactly models the situation that was given to us, however it is very complicated and not easy to follow.",It helped me realize there is always a more detailed way of modeling this in Tinkerplots and to not settle for the simple one.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Talking about this model supports my learning in class because it showed me the most effective way to design a problem solving sampler.,This model is well detailed just like if we have a full deck. However it does not appeal t me because it takes too long to construct and does more than what the question ask for.,"This model supported my learning in class by showing me how to visualize a complete deck of cards in tinkerplot, and it's useful for various question regarding dealing cards.",9,8,10,8,7,10,10,9,8,6,8,8,5,9,7,8,8,8,10,8
39,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,There is one correct note and 6 incorrect notes. The identity of the note odes not matter. Only its correctness is important. ,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,It easily shows that only one of the 7 possible note options is correct.,N/A,This device is too complicated. The identity of the notes is irrelevant.,N/A,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It's clear to show the data.,The two-stage sampling process visually clarifies dependent probability through sequential suit and value selection. The complex branching may overwhelm learners without clear labels or instructor guidance.,"Discussing the device highlighted how conditional probability operates in structured steps, reinforcing theoretical concepts with tangible examples.",8,4,8,8,6,9,9,9,10,7,9,8,6,9,8,7,7,9,7,7
42,"Yes, I was present and completed the Music Notes activity.",I did not have a well-formed idea initially,N/A,N/A,"My initial sampler wasn't very informative. I created a spinner with 7 equal sections, however, I then just labeled them A-G. This wasn't a very well-formed idea because there is no way to check whether the guessed note was correct or incorrect.",The sampler we originally chose related to the narrative that there could be seven different notes chosen for every note that the teacher played.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","Our new sample was similar to the one I selected above, except we stuck with a spinner model. Instead of labeling the sections A-G, we labeled six of the sections Incorrect and one section Correct.","I like that this sampler really highlights whether an answer was wrong or right. It doesn't take into account whether C was guessed and guessed incorrectly. In other words, it only cares about the correctness, not which note was not necessarily correct.",Talking about this device helped my learning because my original sampler wasn't really effective in testing the hypothesis to then answer the research question.,I like that we are able to actually see which note was played and which note was guessed. It gives more of a visual representation of the experiment. I dislike how there is two steps. I think that in the long run this model could make the data collection a little more complicated than it needs to be.,"Talking about this device supported my learning in class because in order to collect statistics, you first need to create a new table and code into tinkerplots for it to come up with a new list basically saying if the teacher's note and the guess matched. I had forgotten how to do this, so this was helpful.","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Talking about this device supported my learning because I was able to see a different version of this than what I had initially thought of.,I like this because it is exactly what I did initially for my experiment. Nothing doesn't appeal to me. ,This supported my learning because I was able to compare my thinking to other people's reasoning of why they chose this. ,10,10,10,10,10,10,9,9,9,9,10,9,10,9,10,8,10,10,9,10
44,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,It didn't differ.,This chosen sampler makes sense because it simulates the situation exactly.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",it's the same.,It is very simplified as i can immediately tell which one is correct and incorrect. I don't like it though because i like it to be more specific to the context.,It showed me different ways to simulate the same type of situation.,I like how it really simulates the exact context. ,We talked about how it could be done in reverse too which expanded my learning. ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","I don't really remember talking about this particular one too much during class, to be honest.","Really complex and, in my opinion, pretty unnecessary. BUT, it is very accurate in actually simulating the thing we're trying to test.","I initially didn't really know what was exactly going on with this sampler, but after talking about it in class, I got the general idea a bit better. ",9,9,10,10,9,9,10,9,10,8,8,8,7,8,9,9,8,10,9,10
49,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,"I had a very similar set up, but instead of stacks I created a spinner model.","It allows for random chance selection of the correct note, which can only be 1/7 for each of the 10 questions.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"It provides a visual for how many possible answers can be selected for each question, only one of them being correct.",It helped me feel more comfortable and confident about this model due to talking through the reasoning for the attributes and labels. ,This does not appeal to me initially because it does not matter WHICH note is correct; it only matters how many correct notes there are. This sampler provides a more difficult visual and data set-up.,It helped me understand how it reduces mental math when in the set-up process.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","I did not even think about this sampler before it was brought up in class, but it was very simple when I was shown it.","This is the most complex, but it is like a real deck of cards, it does not just show whether you got hearts or not.",It supported my learning because I think I learned a lot about the sampler when thinking about this method rather than my initial.,8,8,8,5,8,3,3,3,3,3,4,5,5,5,3,8,6,8,8,8
51,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,My sampler did not funciton differently. ,"My sampler showed a fair chance of picking the correct note, with a 14.3% chance to be correct. ","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"I like that this sampler has a 14.3% chance to pick the correct option, which represents the chance of picking the correct music note when given 7 at random. I do wish it showed exactly what note was picked.",This device supported my original thinking of the problem because it accurately showed the example very basic but correctly.,"I like this sampler because it shows the situation if Jasmine would have guessed at random, and the teacher picking at random. ",This device didn't support my learning in some ways due to the extra risk that comes with this device due to the decreased chance of picking the correct answer.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","When talking about this idea in class, I realized that this was another good option that my group could've used.","Something that appeals to me about the sampler is that you are able to see each individual card that is being chosen. However, this sampler is overwhelming for me to look at and I don't think the level of detail is necessary for the given situation.","Talking about this device in class helped me understand why some classmates would choose this device, and also some of the pros that it has.",8,8,8,8,9,9,9,9,8,8,8,8,8,9,10,8,7,9,9,9
53,"Yes, I was present and completed the Music Notes activity.","A mixer sampler with replacement containing one ball to represent a correct guess, and another ball representing an incorrect guess. ",5,0,We had a mixer sampler with 6 balls labeled correct and 1 ball labeled incorrect.,It relates to my personal narrative of this problem because it gave a visual one in seven chance that Jasmine would get a music note correct. ,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Instead of stacks we had a mixer ball sampler. ,It appeals to me because it represents a 1/7 correct ratio simply and provides data that is easy to interpret. ,"It supported my learning in class because it showed me that even though spinners with the music notes and incorrect/correct are the most accurate to the problem context, it is not the easiest to interpret the data and overcomplicates the statistics we are trying to get.","It makes sense to the context of the situation, however interpreting and gathering statistics from the data seems unappealing and challenging. ",It supported my learning because it showed that the most realistic samplers are not always the best. ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","I contemplated about using this model myself, but I ended up not using it. However, seeing that some people using it and reaching the same conclusion as me showed me that it was indeed a viable method with nothing wrong about it.","I like the fact that we can see the individual card suit and number for each draw, without it picking two same numbers from the same suite. However, it does seem to overcomplicate things, because although the extra information was good, it was not needed in our case. ",I liked exploring this method and seeing how it was designed to not pick any duplicate numbers from the same suite.,6,8,8,5,4,6,8,8,7,7,9,4,5,8,7,7,5,8,6,7
54,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,We used a spinner with a 1/7 chance of being correct.,We simply thought she was guessing the notes with a 1/7 chance with replacement.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",we used a spinner instead,It easily represents whether Jasmine was correct or incorrect on her guess with accurate probabilities.,It described how even simpler samplers may be the most accurate and/or efficient at representing a situation. ,"The sampler includes an extra probability that makes it less likely for jasmine to guess the note than it actually is. Additionally, the data collected doesn't easily show whether she was right/wrong.",It supported my learning by showing how sometimes students can overthink certain situations and create inaccurate models despite the actual model being simpler. ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It supported my learning because it exposed me to different ways of getting the same result however impractical it may seem. ,It appeals to me because its every specific and will let me know exactly what card I drew. It does look more complicated than necessary. ,It helped me understand different ways of getting the same outcome and honestly this was a better sampler than what I had thought off. ,9,8,9,9,8,9,8,8,8,7,8,9,9,9,9,8,9,8,8,9
55,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,Jasmine had 1/7 percent of probability to choose the correct note. ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,It looks much simpler and clear. But doesn't show the correct and chosen notes' names like A-G,The stacks ratio 6:1 means choosing correct notes has 1/7 percent of probability. ,It shows the two results of correct notes and chosen notes. It has two draws which looks a little sophisticated. ,The device has two draws: the correct notes and Jasmine chosen notes. ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",Talking about this device in class made me want to stray away from using this sampler.,This does not appeal to me at all. It just looks way too complicated. We don't need all of these categories and variables to find what we need to find.,Talking about this is class supported my learning by showing me there are many ways to create samplers that find the same results (helped me understand tinkerplots better). It also supported me by letting me know the harder method of doing things (and giving me the suggestion to sometimes stray away from those methods to save time).,8,6,10,8,3,5,6,10,7,8,7,3,7,8,3,8,3,10,7,3
56,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,Use 6 actual and 6 guesses ,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,The probability of it is 1/6,It did support our learning by giving us more options of correct answer,This is a complicated method,This did support my learning because this is the one we use at first then we start to realize it might not be the perfect method ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",We talked about how this is one of the most ideal solutions for solving the problem.,"Appeal: Keeps track of which specific card is obtained.
No Appeal: Exactly the above. It isn't necessary to solve the hearts problem.",We talked about how trying to get each specific card is an unnecessary level of detail that doesn't need to be tracked in our simulation of drawing for hearts.,5,5,7,6,7,7,6,7,7,7,5,7,7,6,7,7,6,6,7,6
